"R.adt.adrenal.gland"	"E.chd.BE2C"	"R.emb.testis"	"E.adt.body.of.pancreas"	"R.adt.stomach"	"E.adt.uterus"	"E.nbn.BJ"	"E.adt.M059J"	"R.emb.renal.pelvis"	"E.chd.SK.N.SH"	"E.adt.ovary"	"R.adt.CD4.positive..alpha.beta.T.cell"	"E.adt.thyroid.gland"	"R.emb.mesodermal.cell"	"R.adt.psoas.muscle"	"E.chd.SK.N.DZ"	"E.adt.PC.3"	"R.adt.heart.left.ventricle"	"R.adt.CD14.positive.monocyte"	"E.emb.smooth.muscle.cell"	"E.adt.right.atrium.auricular.region"	"E.adt.vagina"	"R.adt.pancreas"	"R.emb.H1.hESC"	"E.adt.GM12878"	"R.adt.spleen"	"E.adt.thoracic.aorta"	"R.emb.left.renal.pelvis"	"R.adt.esophagus"	"E.adt.gastroesophageal.sphincter"	"R.emb.left.lung"	"E.emb.H1.hESC"	"E.adt.SK.MEL.5"	"R.nbn.foreskin.keratinocyte"	"E.chd.MG63"	"R.adt.adipose.tissue"	"E.adt.MCF.7"	"E.adt.OCI.LY7"	"E.adt.HT.29"	"R.adt.ovary"	"R.emb.placenta"	"E.chd.G401"	"E.emb.hepatocyte"	"R.adt.CD8.positive..alpha.beta.T.cell"	"E.emb.H7.hESC"	"R.adt.lung"	"E.adt.adrenal.gland"	"R.emb.endodermal.cell"	"E.emb.umbilical.cord"	"E.adt.tibial.nerve"	"R.chd.thymus"	"E.adt.stomach"	"R.emb.muscle.of.back"	"R.emb.thymus"	"R.emb.muscle.of.leg"	"E.adt.RPMI.7951"	"R.emb.muscle.of.trunk"	"R.emb.hindlimb.muscle"	"R.emb.ectodermal.cell"	"E.emb.neural.cell"	"R.emb.fibroblast.of.skin.of.abdomen"	"E.chd.Daoy"	"E.adt.mammary.epithelial.cell"	"R.emb.left.renal.cortex.interstitium"	"R.adt.heart.right.ventricle"	"E.adt.sigmoid.colon"	"R.emb.IMR.90"	"E.adt.breast.epithelium"	"E.chd.SJCRH30"	"R.adt.small.intestine"	"R.emb.spleen"	"E.adt.A172"	"R.emb.skin.fibroblast"	"R.emb.right.renal.pelvis"	"E.adt.GM23248"	"R.chd.spleen"	"R.chd.heart.left.ventricle"	"E.adt.Karpas.422"	"R.emb.renal.cortex.interstitium"	"E.adt.LHCN.M2"	"R.chd.psoas.muscle"	"R.emb.kidney"	"E.adt.myocyte"	"E.emb.AG04450"	"R.emb.neural.stem.progenitor.cell"	"E.emb.lung"	"R.chd.heart.right.ventricle"	"E.adt.GM23338"	"R.adt.T.cell"	"R.nbn.foreskin.fibroblast"	"R.emb.stomach"	"E.emb.cardiac.muscle.cell"	"E.adt.esophagus.squamous.epithelium"	"R.emb.adrenal.gland"	"R.chd.small.intestine"	"E.adt.omental.fat.pad"	"E.adt.HeLa.S3"	"R.emb.right.renal.cortex.interstitium"	"R.chd.stomach"	"R.emb.heart"	"E.chd.HepG2"	"E.emb.spinal.cord"	"R.adt.aorta"	"E.adt.Peyer.s.patch"	"R.emb.small.intestine"	"R.adt.right.cardiac.atrium"	"R.emb.mesendoderm"	"E.emb.tongue"	"E.emb.heart"	"E.adt.A549"	"E.adt.heart.left.ventricle"	"E.nbn.endothelial.cell.of.umbilical.vein"	"R.emb.spinal.cord"	"E.adt.spleen"	"R.adt.common.myeloid.progenitor..CD34.positive"	"E.adt.fibroblast.of.lung"	"E.adt.ascending.aorta"	"R.chd.lung"	"E.emb.stomach"	"R.chd.sigmoid.colon"	"E.adt.H4"	"E.chd.Jurkat.clone.E61"	"E.adt.prostate.gland"	"E.adt.upper.lobe.of.left.lung"	"R.emb.large.intestine"	"R.nbn.foreskin.melanocyte"	"E.adt.testis"	"E.adt.right.lobe.of.liver"	"R.emb.forelimb.muscle"	"E.adt.esophagus.muscularis.mucosa"	"E.emb.liver"	"R.emb.mesenchymal.stem.cell"	"E.emb.urinary.bladder"	"R.emb.ovary"	"E.adt.SJSA1"	"E.adt.lower.leg.skin"	"E.adt.gastrocnemius.medialis"	"R.emb.muscle.of.arm"	"R.adt.mammary.epithelial.cell"	"R.emb.right.lung"	"R.emb.trophoblast.cell"	"E.adt.Caki2"	"E.adt.B.cell"	"E.adt.K562"	"E.adt.heart"	"R.adt.sigmoid.colon"	"E.adt.transverse.colon"	"E.adt.fibroblast.of.dermis"	"E.adt.subcutaneous.adipose.tissue"	"R.adt.B.cell"	"R.adt.natural.killer.cell"	"E.emb.neural.progenitor.cell"	"E.adt.HT1080"	"R.emb.left.kidney"	"P8_o"	"P6_o"	"P13_y"	"P13_o"	"P6_y"	"P8_y"
"AC012531.1"	0.000124705245737792	0.000124705245737792	8.09980324237854e-05	0.000303032942019923	0.000379637564387911	0.000306673250393061	0.000188018094971502	0.000174941650656983	0.000199411640878144	0.000216600913861823	0.000111480680072922	6.15195627921616e-05	0.000121589338355583	0.000450696092769114	0.000134869064593847	0.000117918904851978	0.000279919418819624	0.000988629918784286	8.39944169021106e-05	0.000287201082718477	0.000193502037092633	0.000225196757980801	0.000229453400768404	0.000147964663952747	0.000153983113247075	0.000150144445178424	0.000310766539976503	0.000202449027585564	0.000173128646092865	0.000213757912632796	0.000125946994548053	6.89031884292075e-05	9.5892246321143e-05	0.000165116730355721	0.000182269562446208	0.000119660396690913	0.000114088948892079	0.000122216527936266	0.000182453871797826	9.76136079626717e-05	0.00019219432163424	0.000241479669712398	9.80775268286657e-05	4.16199821328439e-05	0.000230130710929427	0.000167962680659095	0.000265653611988219	0.000226325541023028	0.000336741516721832	0.000216903456556443	7.95374747173851e-05	0.000283039124062893	0.000126094917965806	5.74757346383329e-05	0.000128265251438216	0.000367187341506386	0.000123594943069339	5.44401046653939e-05	0.000239328400868575	0.00037514729756427	0.000120581257226283	0.000175357124045736	0.00110907378699793	0.000232861861490487	0.000293462128123979	0.000344761486488299	0.000175916241106375	0.000137227316083011	0.000142914273574509	0.00156844849539467	8.02051888909055e-05	0.000192204546213403	0.000119934120798675	0.00017897746202052	0.000208077940998218	0.00035321824502093	0.000161917170784811	0.000222128339991215	0.000187188556753543	0.000468372395568567	9.18473768093859e-05	0.000167607115276137	0.000148350691495836	0.000113001830815951	0.000151049045839483	0.000217945412696322	8.81761061362783e-05	0.000171869728151313	8.84333624165213e-05	0.000146239522756256	0.000156564246557457	9.40799754650094e-05	0.000141760045549167	0.000129659800679044	0.000201345315441767	0.000105800070999963	0.000121868094548042	0.000195019835138249	0.000204274472088861	0.000153831484829249	0.000146603735737741	0.000945737532022103	0.000191554791787213	0.000187944624110659	0.000118248257533599	0.00016418802126785	0.000148641224166625	0.000293583847408776	0.000306671341418857	9.42866305955307e-05	9.06287676495167e-05	0.000189930697805825	0.000188700999735851	5.0037554711031e-05	0.000105643096782883	0.000207293603557534	0.000103097261124459	0.000129299927722089	0.000506229690910691	0.000217576157903091	0.00017481238103597	5.2187410573499e-05	0.000111240785044683	0.000116979086841	0.000126499699238219	0.000140600026679794	5.95154796559943e-05	0.000175021095501919	7.85447003611332e-05	0.000407902955103892	0.000160276441524242	0.000143217161233718	0.000296613549135468	8.61135189970003e-05	0.000168819264351058	5.97628131912876e-05	8.35439046254224e-05	0.00010180230569831	0.000103716842588074	0.000130698821834029	7.0514984043496e-05	0.000439306303103125	4.69109512614482e-05	0.000110504821578519	0.000130115016434463	0.000368293723764833	0.000369430324450264	0.00049065748457197	0.000260434207265303	0.000107018531928424	0.000103215732822033	0.000138192327727976	0.000120561300949315	0.000234550065478374	5.16108461772367e-05	4.56753564775385e-05	6.70294119158253e-05	9.05230919673221e-05	5.35070970405326e-05	5.50545321605233e-05
"AC226150.2"	7.35815971163164e-05	7.35815971163164e-05	3.52913145296656e-05	0.000269404826423603	0.000165529175608447	0.00013591755629724	3.5654984326097e-05	7.51296869815701e-05	0.000381704066170092	6.16796799370105e-05	6.44844625948029e-05	2.98048839164994e-05	0.000121853442418864	0.000143105336279043	5.65929419974727e-05	0.000112745262340714	6.88551747295361e-05	9.26205338694737e-05	4.84453409170534e-05	7.20348225193112e-05	0.000141458598610451	0.000204589693951391	0.000140379064371988	5.22374628050166e-05	5.50041234034181e-05	5.90020317723347e-05	8.93648588088157e-05	3.63823610922041e-05	6.52201049127503e-05	8.1622124275275e-05	5.72363476944754e-05	4.70543085414041e-05	7.20051623449839e-05	2.83343217055276e-05	9.42795302435321e-05	2.89145813042572e-05	7.46672320239996e-05	6.85828920682836e-05	8.12883144299663e-05	4.81076529654219e-05	0.000108216572210224	0.000129629032085763	5.41732424878888e-05	2.12789713891288e-05	6.51646101369632e-05	8.6358198019935e-05	0.000114424089801627	4.54352853280988e-05	0.000158728657052075	0.000137519087372576	9.33196913829515e-05	0.000129376130502017	5.0588202725488e-05	5.00944780175888e-05	4.58236865475279e-05	0.000158710422586793	4.43598197735066e-05	4.13767828968892e-05	2.9782704986019e-05	5.83362294106912e-05	4.82965632752076e-05	4.22280325895502e-05	0.000161613607758043	4.23502402355999e-05	7.13371207814127e-05	0.000100244288448003	4.70258853379219e-05	0.000116856521342516	6.90797734162152e-05	0.000207244315053661	4.26853899398267e-05	8.26148644788682e-05	5.03338602283744e-05	4.20552435919155e-05	8.70025070637868e-05	2.48057096554122e-05	3.86958313051282e-05	6.60358651370488e-05	4.05880751467383e-05	7.77826979258508e-05	5.05337000742366e-05	4.65966945863545e-05	8.89430109984092e-05	2.88320774187907e-05	6.55135934471161e-05	0.000108484433972478	5.83083343342413e-05	6.80059450155425e-05	4.96944258802207e-05	3.9511897925521e-05	5.59257513262701e-05	7.09300602172551e-05	8.36694988420203e-05	9.00145510397581e-05	5.73649174625634e-05	8.92173035969959e-05	6.5475365028315e-05	3.43352943558277e-05	0.000111187236220373	6.63756876457485e-05	7.0451313309458e-05	0.000111177107491767	5.10342399742537e-05	0.000130365029524452	6.08390212293956e-05	8.79578177724766e-05	6.86336291017903e-05	0.00015376855897249	0.000115492223684147	0.000100470979610578	8.95385390868771e-05	4.84427642166812e-05	6.76870248256048e-05	2.90520519189027e-05	5.38776465997308e-05	3.60500275782742e-05	7.81988117647849e-05	9.22498928306506e-05	0.000150855822621575	3.38899854713512e-05	8.11193927153448e-05	5.46009159681338e-05	9.70044300710456e-05	0.000119144083143072	5.15486018217e-05	6.47958179198635e-05	3.82136973606289e-05	0.000106710945884022	4.28827303040465e-05	7.70149770542727e-05	8.71826832865465e-05	2.37388595467263e-05	0.000148931501497545	2.79749645360861e-05	5.92849455985016e-05	7.17846383171061e-05	6.67694161794736e-05	5.45618005313598e-05	3.25838898352499e-05	5.91841450023025e-05	2.5628893975993e-05	5.67824515090914e-05	1.21158735085521e-05	8.30627210779467e-05	7.51206863442567e-05	0.000249524957553031	0.000130415603687654	0.000155574774792281	9.64522839910081e-05	5.45547695906875e-05	5.10002984548692e-05	8.41980576281557e-05	5.68489315245049e-05	5.03792146445123e-05	1.21839035095536e-05	4.58232146411605e-06	1.21301703643046e-05	5.97950978531521e-06	9.06272671681366e-06	1.14431423698395e-05
"AHR"	2.39484610254064e-05	2.39484610254064e-05	0.000270139014498696	0.000323132541388146	0.000116261940113762	0.000307804011286934	0.000158354202993989	0.000179082260702696	0.000243341100175008	1.23359132149689e-05	0.000146723334433368	7.3821017937288e-05	0.000676410936349136	0.000238371869178341	0.000125246920400315	2.46650723932888e-05	0.000103599749701296	0.000886245024208479	0.000403235796173437	9.24302472300068e-05	0.000307962431148433	0.000155746282497904	0.00015603117226253	0.000130342060832718	0.000110290828166424	0.000176294605355905	0.000922818738821724	0.000138890370118721	0.000191879783742772	0.000295858639635501	0.000508047731686662	9.80612172117454e-05	9.31817466638919e-05	7.68857981179202e-05	0.000442913533129613	0.000351540866028214	0.000148884455244821	2.48348145429726e-05	0.000142035903571235	7.55356783465134e-05	0.000399405807752884	0.000172190552713468	0.000165188088376137	5.65945499219575e-05	5.58992698166276e-05	0.000373442795723508	0.000154239845075106	7.56414787857023e-05	0.000257999933757666	0.000411455179085922	0.000233421357619535	0.000311645531499927	0.00033008928857259	0.000381078825807007	0.000297774959323953	0.000285000681520574	0.000131937901195088	0.000565102781485905	0.000490901455248767	2.14308377246572e-05	5.22339716498177e-05	0.000155826989465052	0.00137009407302565	0.000197641280061484	0.00010635669131915	0.000166987983921209	9.99583983927252e-05	0.000800903111539729	3.19514601006562e-05	0.000118970538753628	0.000282777172806351	5.53515645143939e-05	7.82708304231362e-05	0.000690454838856633	0.000514339092726353	0.000935036804392564	0.000554468500343354	2.75150535498385e-05	0.000438956732394123	0.00023147256069948	9.99803608432075e-05	0.000191902895510431	0.000640315038978044	0.000119341410606934	5.38087327505685e-05	0.000378092359075906	0.000698734707438741	0.000104404812689106	0.00067586450190397	0.000306791100591722	0.000341093585481729	0.000108004617719468	0.000489704150625367	0.00044833619237174	0.000438349514123292	0.000474675826545765	0.000120355387655609	0.000164461780564986	0.000176294124840354	0.000255023428003703	0.000275933816004215	0.00032171016930353	0.000963495689470769	0.000278681286509547	0.000270035339700504	0.000423192818959018	0.00010058576065572	0.000439474262918032	0.000533719200202983	4.68816790530926e-05	0.000319453237618649	0.000278234595542375	0.000222060838998395	0.000443993971468699	0.000163771146168909	0.000192842213001021	0.000292309954871013	0.00140015767362713	0.000555044990621693	0.00075221829373091	0.000823204162208964	6.85947421300953e-06	0.000604683350804661	0.000251125179759444	0.000324617186744263	0.000647983017308978	0.000293919675104526	0.000156343056577677	0.000321763839295631	0.000424269776322022	0.0005004603213879	0.000693957139302607	0.000495311835394778	0.000305136880663247	0.000825615512959218	0.000226347423416822	0.000223526003722309	0.0001319301589957	0.00080594289405463	0.000324492832371557	0.000330348011915756	0.000330118737862109	3.25830369192984e-05	1.1548607978963e-05	0.000380073165236364	0.000567616218933709	0.000186296997802597	0.000942279897433456	0.000484445354560693	0.000112675257457986	0.000163617836374317	9.81304364850919e-05	6.13390066851456e-05	0.000524653629298585	0.000162221625156615	0.000830558934668347	0.000225020177851669	7.5917986266511e-05	0.000149227406726845	0.00106659986633068
"AIRE"	1.48720019786104e-05	1.48720019786104e-05	1.15310044243114e-05	3.41537026793632e-05	3.13723598767572e-05	4.92103947031043e-05	2.54813131160875e-05	2.74298297673064e-05	4.52255326245249e-05	3.13500453258767e-05	9.72429677046156e-06	1.77359543292868e-05	1.93454263208638e-05	5.19987515832686e-05	2.72509337212666e-05	1.5253291241366e-05	1.25220725630083e-05	3.97630153997629e-06	1.37139082333683e-05	6.1888332545359e-05	2.94343626069566e-05	1.55565085281602e-05	2.82499527862635e-05	2.63280895793386e-05	3.08273845291434e-05	1.97741394635268e-05	7.16249905850414e-05	2.90389638258598e-05	1.97144287400171e-05	6.83010983812815e-05	2.05375963935782e-05	9.76206258157302e-06	1.94211994820819e-05	1.2618789335788e-05	4.52694851724218e-05	3.62325441655977e-05	1.29145233843253e-05	4.38893716645595e-05	1.31837555461889e-05	1.16205144212337e-05	3.7507180980556e-05	0.000132983599985008	2.45957347448001e-05	1.00186104516665e-05	2.41421662314387e-05	1.60457812209098e-05	1.54632848257069e-05	3.73906758905792e-05	6.85514535540433e-05	2.81798916497385e-05	0.00660060028352625	3.08184181409441e-05	2.62617626217467e-05	0.000127707673031956	0.000141523641090603	3.78263530144644e-05	2.72526224954115e-05	1.78706695478178e-05	3.36114280889157e-05	0.000110308213418299	2.60566960913534e-05	1.40143253330113e-05	0.000135646990970398	2.37350550686197e-05	2.58210193921447e-05	4.47588122600264e-05	3.21377547304478e-05	1.50727268548844e-05	3.20649960244237e-05	6.22117815604293e-05	1.52230456249793e-05	2.54426034575759e-05	2.74830463989983e-05	8.25478836021671e-05	3.12202497700128e-05	6.65096543330934e-05	8.98410843798174e-06	3.77676010817261e-05	3.24459437127883e-05	2.64374440362279e-05	6.6638678035178e-06	0.000108334245507718	0.000222257907637386	1.51136835421808e-05	1.10734193867269e-05	3.62520574604422e-05	2.87760904355605e-06	9.79301097401292e-05	6.68305606754028e-05	1.60481358991728e-05	4.06882571926787e-05	1.39925281881076e-05	1.22142702835138e-05	1.99553859782439e-05	4.76514822992269e-05	2.37843646194706e-05	2.43707181624778e-05	2.72311395832255e-05	1.25489823821286e-05	2.74798562864981e-05	1.79623995638634e-05	7.12913229054538e-05	9.55851737862209e-06	1.88956973930635e-05	6.59626510122132e-05	5.40424639501555e-05	2.40089597836754e-05	3.27517841851408e-05	4.86476025076705e-05	1.36097431808621e-05	1.39749095966446e-05	3.02725725426275e-05	4.74945999887972e-05	9.83738932186672e-06	3.93116023388482e-05	2.57231058449385e-05	1.13533806494965e-05	1.26103463664437e-05	9.518009069517e-05	7.39013889671982e-05	4.62988832215258e-05	2.38826207437492e-05	1.33953586606366e-05	2.0450424651724e-05	7.94889292088841e-05	1.08827913455644e-05	1.86314461122373e-05	1.20347256357501e-05	2.4029585039738e-05	5.14930652811079e-05	1.43256322747615e-05	3.51809514091448e-05	2.87044792125258e-05	2.3067236883211e-05	1.76963496858644e-05	7.1209099970861e-06	2.93011379286137e-05	2.1985510082345e-05	8.3115980918698e-06	2.66011862385575e-05	2.49748651285522e-05	1.55967176715855e-05	2.13601026856976e-05	1.03291112342233e-05	9.65747635492634e-06	4.5267567582083e-05	2.96790790756615e-05	4.16331388338548e-05	3.48128520612129e-05	4.49948589603357e-05	4.36786165441266e-05	1.43939486003558e-05	8.51507504537189e-06	4.30787614289885e-05	3.61968464357462e-06	5.12199730926659e-06	4.49731108558936e-06	1.42877670941421e-05	3.74435574915752e-06	5.39689884362794e-06
"AL662828.6"	4.59952722034331e-05	4.59952722034331e-05	4.70766137241925e-05	0.000337348916377783	0.000191160414585925	0.000190461592262178	6.53039084419324e-05	9.60393294368204e-05	4.00463599291728e-05	3.82174757551463e-05	0.000106931392233671	4.15674864214615e-05	0.000107485863882716	0.000134942239121057	1.04182285492711e-05	3.70123431420847e-05	9.66175504691161e-05	9.0020966437578e-05	5.11011102494077e-05	4.71651518245745e-05	0.000103622094838487	0.000201843496415188	0.000138245823719419	6.76609698403456e-05	4.13775553933925e-05	2.73874977209508e-05	7.41962635528462e-05	4.21966580945171e-05	3.75333119016212e-05	4.39335341273771e-05	5.82233972853046e-05	4.4563335039771e-05	7.07143227755344e-05	6.32855912123504e-05	9.53064880487028e-05	3.72769409000864e-05	5.5050725689855e-05	5.64724573409355e-05	6.008064531514e-05	8.64711796613385e-05	0.000129355405369513	0.000137621806550911	4.29728006473369e-05	5.2767739384438e-05	7.43051557197256e-05	9.05460135514737e-05	0.000159448112331581	2.581026287389e-05	0.00013325496902689	0.000160250782506752	2.08403453786212e-05	0.000205778879106044	4.03956507336346e-05	5.50992814164876e-05	5.08616109484164e-05	0.000168359622616118	6.6802571075098e-05	6.36987494103858e-05	2.7792028742211e-05	3.83455874541992e-05	3.40728500349154e-05	0.000138913709939245	0.000164535050744479	3.35311801999613e-05	0.000113698043579531	6.68195427399403e-05	8.73105809645578e-05	0.000133348243969658	4.82290785138706e-05	0.000166154925785817	4.45092997205949e-05	6.44786635455691e-05	5.35691579322915e-05	4.35662586658716e-05	6.11973472377046e-05	1.88502937493628e-05	2.67723668509563e-05	0.000116189925416434	3.33717251038889e-05	0.000158488398260834	8.04574397063009e-05	4.30461886611579e-05	9.46678631600698e-05	6.58807659065913e-05	6.89915672415278e-05	8.53003525434206e-05	5.746854498477e-05	8.360244695199e-05	6.47778835636523e-05	5.7198645085651e-05	5.51389704968961e-05	8.45881036737163e-05	9.38688595131417e-05	9.10283012383748e-05	4.12422070328955e-05	0.000129765668047229	6.21310859348724e-05	5.02953822302233e-05	0.00010227539625196	9.94204350479568e-05	9.80609052040015e-05	0.000139134128144529	8.72085268192371e-05	0.000187329231448095	4.74784284206562e-05	2.51424621197042e-05	3.45482955614236e-05	0.000161538849477191	0.000110536064394128	5.43399486106344e-05	0.000190014037071974	5.42410565033203e-05	8.00611859253834e-05	6.86458366108958e-05	4.7104942488934e-05	7.74955268453556e-05	0.000238800240414572	9.33203765350258e-05	0.000120486959880349	2.70465405732199e-05	8.82729818907858e-05	2.65673666049999e-05	9.93854102490617e-05	0.000206392358163659	4.22018778183413e-05	5.49132469948118e-05	5.35764568947902e-05	0.000167370494975562	4.26191458587383e-05	8.20726343261393e-05	9.69123726231738e-05	3.27519044733826e-05	7.83177152611811e-05	4.66149456503429e-05	8.71357501191911e-05	9.54636426891894e-05	0.000112594348117269	3.47618658142023e-05	5.81041608850963e-05	4.74015374615465e-05	3.07434849564538e-05	0.000102942710440816	4.83953346646008e-05	4.41158720369221e-05	0.000124240142039101	0.000117683443521343	0.000128000480621911	0.000174371654597769	0.000224387274225236	4.52023575228145e-05	6.91051528055463e-05	2.12130296260297e-05	5.20951375061336e-05	4.56874215822858e-05	2.20427108210694e-05	2.98144470120615e-05	3.05110204902439e-05	3.53705905844055e-05	2.46060589020325e-05	3.22057229265756e-05
"AL662830.5"	1.73205602092257e-05	1.73205602092257e-05	7.75732782877797e-06	7.94695830125725e-05	7.63815720230149e-05	5.88888791262671e-05	1.72762980780729e-05	2.25502384320935e-05	1.43995026738013e-05	3.70081028377634e-05	1.2925539681587e-05	1.3800303420815e-05	7.7998152555353e-06	9.78715229447207e-06	2.90423394294786e-06	1.47424761753045e-05	1.5222715504605e-05	7.50567385488505e-06	8.57995686894882e-06	3.63329251675681e-05	1.07458524600702e-05	3.27904974027349e-05	1.72590290732343e-05	1.50821997934728e-05	3.81575063909043e-05	2.79689294953727e-05	6.79768027163271e-05	9.89773316669507e-06	1.37242017205842e-05	1.73824846524531e-05	4.0888341386613e-05	6.68652329145405e-06	2.33574701883513e-05	1.97457472617639e-05	1.51699522723795e-05	6.03640260395492e-06	9.36895830243318e-06	1.28186142060127e-05	1.97222042717102e-05	1.0145152240735e-05	6.75863199043944e-06	3.7884352108102e-05	9.25348143312896e-06	1.61181268863219e-05	5.8304985522137e-05	7.10288612746134e-06	1.55253982329975e-05	3.87269380038553e-05	5.49312234013965e-05	2.18934247590967e-05	1.45498248980403e-05	4.09401837339784e-05	2.07329773811081e-05	9.23442468149662e-06	1.58536172486961e-05	6.05576865219896e-05	2.46313792555357e-05	8.53808350457919e-06	1.47269243275732e-05	4.2978750847875e-05	2.20193402040014e-05	1.32666573584561e-05	9.46963906304161e-05	2.50361723928291e-05	3.44559468593912e-05	5.72380243106927e-05	3.09008206180913e-05	3.73017896410275e-05	1.42367399987911e-05	6.26677248965072e-05	1.30317060118589e-05	2.17866987305502e-05	1.64133671976366e-05	2.2933596585308e-05	3.93718469076312e-05	5.27399238923553e-05	9.14744309597763e-06	2.77197534395254e-05	1.34591529626204e-05	2.93584389630544e-05	6.62785967649957e-06	1.96832497809143e-05	1.25053950354921e-05	1.43055497012457e-05	7.31112208873488e-06	2.16244271881901e-05	2.83162649108392e-06	2.51428468459589e-05	2.03868334272755e-05	1.7081430236468e-05	2.09172154690682e-05	1.57734495390964e-05	6.39525892278674e-06	2.64490488420885e-05	1.50236282772088e-05	2.23658341704607e-05	2.04565900102118e-05	1.04558587714394e-05	9.0361071704211e-06	2.29960798965109e-05	1.18036802218769e-05	0.000106076078536182	9.891704260133e-06	1.13389132369326e-05	1.04701576699996e-05	7.94488359635445e-06	1.94784240325758e-05	3.40535073557177e-05	5.89281447609931e-05	1.2066852184933e-05	1.12342555340384e-05	3.61085792276475e-05	2.24669220701946e-05	1.55469887739134e-05	1.38396933518045e-05	3.85552889190789e-05	4.7813968879314e-05	7.36722280217615e-06	3.87638846362993e-05	2.47629827286269e-05	2.51075220048868e-05	9.29805245960036e-06	1.58536055019933e-05	2.24537656398103e-05	1.1799604880954e-05	1.86492828658393e-05	8.94005061849069e-06	1.43107006611338e-05	1.15860650087103e-05	2.61714759891005e-05	3.36081353565116e-05	1.23915888258866e-05	2.5962486867949e-05	1.20910130594665e-05	1.70750743585178e-05	1.94859567993866e-05	4.41927538450697e-05	1.8259108005616e-05	1.06664391914575e-05	9.37571935513433e-06	1.08136629427931e-05	1.6654369065504e-05	7.4145019372208e-06	1.86800912053322e-05	1.41394359814234e-05	3.02239615766938e-05	4.3516983232451e-05	5.29547040254984e-05	2.31867931052509e-05	1.71006429799968e-05	1.93105893307618e-05	1.56216958832027e-05	1.37730058829119e-05	1.33015911017499e-05	3.18576881002304e-06	3.6438237614294e-06	2.16917232975085e-05	4.18591982238333e-06	2.40098873165481e-06	4.07597144819478e-06
"AL662834.13"	5.50874567168043e-06	5.50874567168043e-06	8.37190684237321e-06	1.57626380770561e-05	3.00158937575231e-05	3.53194089415313e-05	6.73913010104509e-06	6.88392925082474e-06	6.85095152752904e-06	3.25499348033238e-05	6.78329924603298e-06	3.87543994017794e-06	7.99731677338388e-06	3.59548649498214e-05	0.000138792720542982	1.12766646643852e-05	2.48889961979168e-05	1.3578081236681e-05	4.3230805812484e-06	4.08850194756489e-05	7.80466737266745e-06	1.62464899568147e-05	2.03327304030981e-05	5.58502830816435e-06	9.653784174525e-06	1.43668634573329e-05	2.21953906958838e-05	3.27662876787623e-06	9.90465033387702e-06	4.2355210741796e-05	1.03953552346298e-05	1.24708867798443e-05	1.95379468518488e-05	6.42225287364164e-06	6.40978402251948e-06	8.11041575995893e-06	1.23533711695499e-05	5.99924387338862e-06	5.14153829255095e-06	9.14680437248107e-06	2.18395151172127e-05	3.09452588048811e-05	6.08683658503651e-06	2.91707454075423e-06	1.85124131084133e-05	1.68447736538438e-05	2.06748684912675e-05	4.05702115733863e-05	1.14852240312622e-05	6.24357474658151e-06	1.97359855759206e-05	4.55485860369995e-05	1.45206458644053e-05	1.68282938794599e-05	1.38097398556759e-05	1.12951478711313e-05	9.56594685839948e-06	1.34010541244463e-05	1.61574398933216e-05	2.1719079692116e-05	2.4535266733266e-06	1.38497519822816e-06	6.02301986209039e-05	8.22445579406312e-06	8.35950185713586e-06	3.19886759771978e-05	1.41430410904449e-05	9.67413648434406e-06	7.04123245653943e-06	2.74157658323138e-05	1.08190762666785e-05	7.50798047999805e-06	4.1520022793244e-06	6.32545775347672e-06	1.0815071945049e-05	1.27914957210714e-05	1.29834989986247e-05	1.83566707975466e-05	5.4508729297664e-06	2.5755614076261e-05	4.03475054720325e-06	3.5501295628908e-06	6.27220502757649e-06	3.02406677698715e-06	4.78798706286829e-06	1.13973385005926e-05	1.88175726327864e-05	1.90230186294526e-05	6.44552797387251e-06	1.2172938921252e-05	8.08720657473763e-06	7.23453546506873e-06	4.45373655951925e-06	1.06021648183867e-05	7.60923642888802e-06	7.55788082786513e-06	7.79584098947129e-06	9.94274084665827e-06	4.51471773576548e-06	1.24369848533831e-05	2.62154325120579e-06	4.2479440838475e-06	1.39002668454395e-05	1.34427509379514e-05	7.60730048347903e-06	1.00839751118716e-05	6.30974243729769e-06	3.36742793671845e-05	2.92473887654967e-05	2.73064352990757e-05	1.12723142848981e-05	1.55881784808761e-05	9.49168222516313e-06	1.48520921714016e-06	2.01048420598984e-06	1.36822570977095e-05	3.61425931117476e-05	1.4601972400644e-05	2.01118130408604e-05	1.81355024558012e-05	1.24696272258849e-05	1.43369026530436e-05	1.06005126944195e-05	1.47415873382018e-05	3.66876183271455e-06	1.08321625488044e-05	1.74958180809838e-05	2.15434617922636e-05	1.47959253610753e-05	2.30412901897089e-05	1.32907125214721e-05	2.11806503381086e-06	3.46047541826815e-05	4.07179308815298e-06	3.36597528961491e-05	2.05109429198895e-05	9.41226705045049e-06	8.63529201087333e-06	7.78140108931774e-06	4.02250615333921e-06	1.31003168802599e-05	7.14513620190962e-06	4.7623876426358e-06	7.84289891161787e-06	1.59294354986312e-05	4.2464339016333e-05	1.51663589008677e-05	4.04073844545909e-05	2.35800199257523e-05	6.16722052252756e-06	4.44037238450915e-06	1.19740284670457e-05	4.39755613170127e-06	7.87914429561668e-06	1.65490337752494e-06	4.30020382731568e-06	3.72618478281646e-06	6.99511150089756e-06	1.97562122797878e-06	1.656146526371e-06
